config,theta_deg,n_frames,ate_mean,ate_delta,time_s,speedup_x,peak_mb,vram_saved
imu-224px,5,8,0.659,-0.0983,0.63,6.18,6983.0,26.7
imu-224px,8,8,0.6906,-0.0667,0.6,6.57,6983.0,26.7
imu-224px,12,8,0.7716,0.0144,0.59,6.58,6983.0,26.7
imu-224px,18,8,0.7716,0.0144,0.59,6.58,6983.0,26.7
imu-518px,5,8,0.659,-0.0983,3.65,1.07,9520.0,0.0
imu-518px,8,8,0.6906,-0.0667,3.71,1.05,9520.0,0.0
imu-518px,12,8,0.7716,0.0144,3.85,1.01,9520.0,0.0
imu-518px,18,8,0.7716,0.0144,3.97,0.99,9520.0,0.0
uniform-518px,-,8,0.7573,0.0,4.01,0.97,9520.0,0.0
uniform-518px,-,8,0.7573,0.0,3.68,1.06,9520.0,0.0
uniform-518px,-,8,0.7573,0.0,3.79,1.03,9520.0,0.0
uniform-518px,-,8,0.7573,0.0,3.91,1.0,9520.0,0.0
